Accuracy_stars,CheckIn,CheckIn_stars,CheckOut,Cleanliness_stars,Communication_stars,Latitude,Location_stars,Longitude,Price,Super_host,Value_stars,Bathrooms_num_int,shared_bathroom,Bedrooms_int,Beds_int,shared_room,air,bunk,couch,crib,double,floor,king,queen,single,sofa,Unnamed: 27,Air conditioning,BBQ grill,Baby bath,Baby monitor,Babysitter recommendations,Bathtub,Beach essentials,Beachfront,Bed linens,Breakfast,Building staff,Cable TV,Carbon monoxide detector,Changing table,Children’s books and toys,Children’s dinnerware,Cleaning before checkout,Coffee maker,Cooking basics,Crib,Dishes and silverware,Dishwasher,Dryer,EV charger,Elevator,Essentials,Ethernet connection,Extra pillows and blankets,Fire extinguisher,Fireplace guards,First aid kit,Free parking on premises,Free street parking,Game console,Garden or backyard,Gym,Hair dryer,Hangers,Heating,High chair,Host greets you,Hot tub,Hot water,Indoor fireplace,Iron,Keypad,Kitchen,Lake access,Laptop friendly workspace,Lock on bedroom door,Lockbox,Long term stays allowed,Luggage dropoff allowed,Microwave,Outlet covers,Oven,Pack ’n Play/travel crib,Paid parking off premises,Paid parking on premises,Patio or balcony,Pocket wifi,Pool,Private entrance,Private living room,Refrigerator,Room-darkening shades,Shampoo,Single level home,Ski-in/Ski-out,Smart lock,Smoke detector,Stair gates,Stove,TV,Table corner guards,Washer,Waterfront,Wifi,Window guards,Reviewers_no,Title,normalized_price,geom,month,address
0,2019-03-21,0,2019-03-26,0,0,40.7548,0,-73.9948,207,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,-1,Super cute 1 bedroom apartment close to TimeSquare,0.848360656,"40.7548,-73.9948",3,"474, 9th Avenue, Columbus Circle, Manhattan, Manhattan Community Board 4, New York County, NYC, New York, 10018, USA"
0,2019-03-21,0,2019-03-26,0,0,40.75204,0,-73.9226,48,0,0,1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,-1,Room Nearby train station to Times Square NYC,0.196721311,"40.75204,-73.9226",3,"Public Storage, 41-02, Northern Boulevard, Sunnyside Gardens, Queens County, NYC, New York, 11101, USA"
5,2019-03-21,5,2019-03-26,5,5,40.83799,4.5,-73.94036,62,1,5,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,26,1Bedroom 15min Train ride to the Heart of NEW YORK,0.254098361,"40.83799000000001,-73.94036",3,"545, West 164th Street, Washington Heights, Manhattan, Manhattan Community Board 12, New York County, NYC, New York, 10032, USA"
5,2019-03-21,5,2019-03-26,5,5,40.84184,4.5,-73.84967,42,1,5,1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,12,BnB & Spa,0.172131148,"40.84184000000001,-73.84966999999997",3,"1717, Saint Peters Avenue, Morris Park, The Bronx, Bronx County, NYC, New York, 10461, USA"
5,2019-03-21,5,2019-03-26,4.5,5,40.76578,5,-73.95443,90,0,4.5,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,48,Private Room!,0.368852459,"40.76578,-73.95443",3,"NewYork-Presbyterian / Weill Cornell Medical Center, 525, East 68th Street, Lenox Hill, Manhattan, Manhattan Community Board 8, New York County, NYC, New York, 10065, USA"
0,2019-03-21,0,2019-03-26,0,0,40.84669,0,-73.94028,61,0,0,1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,"XL clean room in Manhattan, 1 block from subway",0.25,"40.84669,-73.94028",3,"175th Street, Fort Washington Avenue, Hudson Heights, Manhattan, Manhattan Community Board 12, New York County, NYC, New York, 10040, USA"
5,2019-03-21,5,2019-03-26,4.5,5,40.74086,5,-74.03183,125,0,4.5,1,0,1.5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,79,Studio in the heart of Hoboken!,0.512295082,"40.74086,-74.03183",3,"318, Garden Street, Hoboken, Hudson County, New Jersey, 07030, USA"
0,2019-03-21,0,2019-03-26,0,0,40.65292,0,-73.95677,32,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,Better Than Hostel semi-private artsy room,0.131147541,"40.65292,-73.95676999999998",3,"2201, Caton Avenue, Flatbush, BK, Kings County, NYC, New York, 11226, USA"
5,2019-03-21,5,2019-03-26,4.5,5,40.84344,5,-73.93922,44,0,5,1,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,Tiny (but comfy!) Private room Manhattan,0.180327869,"40.84344,-73.93921999999998",3,"4061, Broadway, Washington Heights, Manhattan, Manhattan Community Board 12, New York County, NYC, New York, 10032, USA"
0,2019-03-21,0,2019-03-26,0,0,40.76476,0,-73.95619,83,0,0,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-1,Private Cozy Room - 2 min walking Q train,0.340163934,"40.764759999999995,-73.95619",3,"417, East 68th Street, Lenox Hill, Manhattan, Manhattan Community Board 8, New York County, NYC, New York, 10065, USA"
